column2,column3,column4,column5,column6,column7,column8,column9
Farm & Table,Restaurant/cafe,5262,35.18340937,-106.623789,,,
Lobo Village,University,5252,35.06703144,-106.6368551,,,
Little Anita's New Mexican Foods,Local business,5227,35.09882936,-106.6702524,,,
County Line of Albuquerque,Restaurant/cafe,5145,35.18976481,-106.4954539,,,
Los Poblanos Historic Inn & Organic Farm,Hotel,5125,35.14853786,-106.6676719,,,
Taco Cabana ABQ,Restaurant/cafe,5113,35.15103506,-106.5861571,,,
Savoy Bar & Grill,Restaurant/cafe,5102,35.13095404,-106.5199387,,,
Red Robin Gourmet Burgers,Local business,5092,35.14190491,-106.5996351,,,
Buffalo Wild Wings Gibson,Local business,5085,35.05898716,-106.6284138,,,
Buffalo Wild Wings Gibson,Local business,5081,35.05898716,-106.6284138,,,
Furr's Family Dining,Local business,5059,35.14717406,-106.5877669,,,
Casa Del Rey,Local business,5011,35.11075159,-106.6989456,,,
Albuquerque Little Theatre,Non-profit organization,5010,35.09112465,-106.6689842,,,
FITNHB,Local business,5000,35.09023723,-106.6452529,,,
Albuquerque Downs,Attractions/things to do,4997,35.0807746,-106.5723195,,,
Pei Wei Asian Diner,Local business,4947,35.10419998,-106.5690431,,,
Sushi King Downtown,Local business,4946,35.08428025,-106.6488252,,,
Embassy Suites,Local business,4945,35.09168851,-106.636166,,,
Applebee's | COORS,Local business,4931,35.1144343,-106.702188,,,
Farina Pizzaria,Local business,4920,35.08321437,-106.6419053,,,
Sadie's,Local business,4914,35.14748118,-106.5844423,,,
Hotel Andaluz,Travel/leisure,4900,35.08491452,-106.6493442,,,
Lone Star Steakhouse,Local business,4861,35.19546836,-106.6541896,,,
Buffalo Wild Wings B-Dubs,Restaurant/cafe,4848,35.05897171,-106.6284598,,,
Pros Ranch Market,Local business,4834,35.08697119,-106.6872086,,,
Starbucks,Local business,4828,35.10212826,-106.5682817,,,
Doc & Eddy's,Bar,4813,35.14619729,-106.5888675,,,
Weck's Breakfast Lunch Catering,Local business,4766,35.0867889,-106.5866384,,,
Highpoint Sports & Wellness,Sports/recreation/activities,4747,35.12851898,-106.4938989,,,
ABQ Social Club,Local business,4730,35.07938674,-106.59897,,,
Chili's Grill & Bar,Local business,4705,35.17478535,-106.5593788,,,
University of New Mexico Health Sciences Center,Local business,4704,35.0881564,-106.6173131,,,
Cheba Hut,Local business,4693,35.08022108,-106.620922,,,
Crowne Plaza Albuquerque,Hotel,4688,35.10786214,-106.6249418,,,
Liberty Gym Inc,Local business,4681,35.10576504,-106.5936524,,,
Dion's Pizza,Local business,4665,35.13104336,-106.5239685,,,
Calibers Shooters Sports Center,Sports venue,4632,35.17496232,-106.5805464,,,
Hinkle Family Fun Center,Local business,4618,35.0956175,-106.498589,,,
Tiguex Park,Local business,4602,35.09612885,-106.6667364,,,
Stone Age Climbing Gym,Sports/recreation/activities,4587,35.12837491,-106.6222213,,,
Billy's Long Bar,Local business,4580,35.13611523,-106.5860531,,,
Village Inn,Local business,4534,35.14897766,-106.5859437,,,
Which Wich,Food/beverages,4499,35.08047049,-106.6205988,,,
CNM - Montoya Campus,Local business,4437,35.13496186,-106.5212715,,,
LA Boxing,Local business,4413,35.14055247,-106.6998872,,,
So Good Nutrition,Local business,4406,35.08514141,-106.6539151,,,
O' Neills Irish Pub,Local business,4362,35.11877884,-106.5161279,,,
Vinaigrette,Local business,4298,35.09220022,-106.667707,,,
Dion's Pizza,Local business,4297,35.05904603,-106.6300044,,,
Pei Wei,Local business,4294,35.20695566,-106.6583702,,,
Christy Mae's Restaurant,Restaurant/cafe,4291,35.09100083,-106.5773967,,,
Street Food Asia ABQ,Restaurant/cafe,4279,35.07990576,-106.6060057,,,
Flying Star Cafe,Local business,4247,35.13826269,-106.6679054,,,
Applebee's | SAN MATEO,Local business,4239,35.14753867,-106.5857713,,,
Applebee's | MENAUL,Local business,4238,35.10878312,-106.6133194,,,
FIRE-BELLZ,Local business,4236,35.13837788,-106.5932556,,,
Bien Shur Restaurant,Local business,4236,35.20697945,-106.5663143,,,
Flying Star Cafe,Local business,4227,35.13228113,-106.5163084,,,
Nick & Jimmy's Restaurant,Local business,4219,35.14169249,-106.5975381,,,
Shogun Japanese Restaurant,Restaurant/cafe,4208,35.08008439,-106.6077438,,,
Duck Pond at UNM,Local business,4200,35.08507963,-106.6223218,,,
Drury Inn And Suites,Local business,4199,35.143092,-106.5955249,,,
Flying Star Cafe,Local business,4199,35.17373321,-106.5594707,,,
Heart Hospital of New Mexico,Local business,4187,35.08781727,-106.6372588,,,
Rebel Donut,Food/grocery,4172,35.11261303,-106.5510505,,,
Slate Street Cafe,Restaurant/cafe,4144,35.09253167,-106.6520417,,,
Brown Mackie College of Albuquerque,Education,4117,35.07946304,-106.527659,,,
"""Designer Bodies """"Dynamic Fitness Lifestyle Center""""""",Professional services,4087,35.20465521,-106.6474256,,,
Garcia's Kitchen,Restaurant/cafe,4083,35.09154966,-106.6666337,,,
Sushi Hana,Restaurant/cafe,4053,35.08492319,-106.6539497,,,
California Pizza Kitchen,Local business,4031,35.10290441,-106.5673386,,,
Starbucks,Local business,4020,35.09049358,-106.6428906,,,
Le Peep Restaurant,Local business,3998,35.1012677,-106.569186,,,
Range Cafe,Local business,3990,35.10893332,-106.620173,,,
Papa Felipe's Mexican Restaurant,Restaurant/cafe,3972,35.10849895,-106.5317368,,,
Legacy Church East Side Campus,Local business,3946,35.13400325,-106.5517816,,,
Marble Brewery Westside Tap Room,Local business,3936,35.21593926,-106.6980387,,,
Weck's Breakfast Lunch,Local business,3921,35.174851,-106.5729468,,,
Bistronomy B2B,Restaurant/cafe,3916,35.08041005,-106.6101193,,,
Claim Jumper Restaurants Albuquerque,Local business,3910,35.14041795,-106.5945126,,,
Furr's Family Dining,Local business,3895,35.10418852,-106.5501257,,,
Village Inn,Local business,3886,35.10958806,-106.6222714,,,
Hyatt Place Albuquerque Airport,Hotel,3883,35.04886865,-106.6330461,,,
Jinja Albuquerque Northeast Heights,Bar,3864,35.17523516,-106.5444389,,,
The MAIN EVENT,Arts/entertainment/nightlife,3834,35.11922827,-106.7003331,,,
5 Star Burgers,Restaurant/cafe,3829,35.14717598,-106.5558862,,,
Cliff's Amusement Park,Attractions/things to do,3823,35.14494,-106.58938,,,
El Patron New Mexican Restaurant,Restaurant/cafe,3816,35.13107112,-106.5218383,,,
Outback Steakhouse - Albuquerque - Coors Blvd.,Local business,3812,35.19384644,-106.6539222,,,
Mimi's Cafe,Local business,3811,35.14326092,-106.5944282,,,
The Quarters BBQ,Restaurant/cafe,3783,35.070607,-106.622421,,,
Casa de Benavidez New Mexican Restaurant,Restaurant/cafe,3740,35.17474803,-106.6318577,,,
Cocina Azul,Restaurant/cafe,3733,35.09546812,-106.6588161,,,
Haynes Park,Local business,3710,35.22321192,-106.6626867,,,
Delta Terminal - Albuquerque International Sunport,Local business,3705,35.04736464,-106.6178313,,,
Albuquerque Aquarium,Organization,3697,35.0932,-106.679,,,
Johnson Field,Local business,3668,35.08300575,-106.615995,,,
Zandra's DanZing Fitness,Local business,3660,35.08186518,-106.7032637,,,
ABQ Health Partners Journal Center,Local business,3651,35.1695634,-106.58612,,,
Weck's Breakfast Lunch Catering,Local business,3637,35.10525287,-106.6479033,,,
Boba Tea Company,Local business,3632,35.08030025,-106.6082833,,,
Sakura Sushi and Grill,Restaurant/cafe,3617,35.15553162,-106.6809517,,,
SIPI,Local business,3567,35.1755345,-106.6658905,,,
Road Runner Little League,Local business,3562,35.13201764,-106.5192405,,,
Bob's Burgers,Local business,3560,35.08453355,-106.6887701,,,
Sandia Golf Club,Sports venue,3550,35.2065373,-106.5643835,,,
The Copper Lounge,Bar,3547,35.08158275,-106.6299674,,,
Starbucks,Local business,3546,35.11267084,-106.7017016,,,
Healthy Choice Nutrition,Club,3540,35.075396,-106.697674,,,
Chick-fil-A Montgomery and San Mateo,Restaurant/cafe,3539,35.13133769,-106.5877627,,,
Marcello's Chophouse,Restaurant/cafe,3514,35.10265821,-106.5674634,,,
Cloud9 Divine Healing Center,Public places,3509,35.13041434,-106.56994,,,
Roosevelt Park,Local business,3504,35.07730308,-106.6328144,,,
Five Guys Rio Rancho,Local business,3493,35.174838,-106.572692,,,
Hilton Garden Inn Albuquerque Uptown,Local business,3490,35.10011505,-106.5730421,,,
Presbyterian Pediatric Urgent Care,Local business,3484,35.0812368,-106.6357556,,,
El Taco Tote Mexican Grill Restaurant,Restaurant/cafe,3482,35.07884325,-106.5918607,,,
Charritos New Mexican Restaurant,Restaurant/cafe,3449,35.0849747,-106.6911754,,,
High Noon Restaurant & Saloon,Restaurant/cafe,3424,35.09837233,-106.6694952,,,
Hong Kong Buffet,Restaurant/cafe,3423,35.19883709,-106.6500151,,,
Apothecary Lounge at Hotel Parq Central,Local business,3417,35.08241839,-106.6382214,,,
Village Inn,Local business,3405,35.10294354,-106.7057867,,,
El Patio De Albuquerque,Local business,3404,35.07944894,-106.6206996,,,
ABQ JUMP,Attractions/things to do,3401,35.11341306,-106.6381546,,,
Lucky's Lounge,Bar,3398,35.1299995,-106.5316069,,,
Starbucks,Local business,3375,35.15157196,-106.5863637,,,
Buffalo Wild Wings,Local business,3364,35.104058,-106.706451,,,
Century 24 Theatres,Local business,3361,35.14169513,-106.6024429,,,
UNM Soccer Complex,Local business,3341,35.06710692,-106.627146,,,
Snap Fitness Albuquerque,Local business,3339,35.10972976,-106.6459768,,,
Starbucks,Local business,3335,35.20310424,-106.6593303,,,
Lovelace Hospital Downtown,Local business,3317,35.08651619,-106.6395535,,,
Inspire Salon,Spas/beauty/personal care,3293,35.08095854,-106.6525365,,,
Sushi King Westside,Local business,3292,35.18739906,-106.6616888,,,
K & I Diner,Local business,3289,35.05643772,-106.644818,,,
Rock & Brews - ABQ,Restaurant/cafe,3279,35.130609,-106.589216,,,
Lindo Mexico,Local business,3270,35.07345324,-106.5771794,,,
Mannies Family Restaurant,Restaurant/cafe,3263,35.08078597,-106.6129187,,,
Golden Crown Panaderia Neighborhood Bakery,Restaurant/cafe,3256,35.09576121,-106.6582149,,,
Garcia's Kitchen,Local business,3254,35.13266288,-106.6429526,,,
BJ's Restaurant & Brewhouse - Albuquerque,Local business,3251,35.09952779,-106.5673775,,,
Louies Pub & Grill,Bar,3248,35.10947475,-106.5816721,,,
Menchies Frozen Yogurt,Local business,3240,35.17530405,-106.573283,,,
UNM Cancer Research and Treatment Center,Local business,3239,35.09596322,-106.6282554,,,
The HotSpot Nutrition,Club,3228,35.07897342,-106.5993244,,,
Alameda Rio Grande Open Space,Local business,3209,35.19492296,-106.640173,,,
Weck's Breakfast Lunch Catering,Local business,3198,35.09047867,-106.5154048,,,
Lins Grand Buffet,Restaurant/cafe,3195,35.12943024,-106.590243,,,
Applebee's | LOMAS BOULEVARD,Local business,3192,35.08677623,-106.5297297,,,
Presbyterian,Local business,3188,35.15388149,-106.5844219,,,
Vigorous Nutrition,Club,3187,35.09138871,-106.586696,,,
Buffet King,Local business,3174,35.1469731,-106.5839804,,,
New Mexico Lobos,Company,3155,35.06678836,-106.632247,,,
El Modelo Mexican Foods,Restaurant/cafe,3137,35.0685964,-106.652407,,,
Zacatecas,Local business,3130,35.08016337,-106.6059852,,,
Starbucks,Local business,3126,35.07990595,-106.606859,,,
Flying Star Cafe,Local business,3120,35.10940157,-106.555118,,,
Starbucks,Local business,3100,35.133691,-106.6121113,,,
Old Town Pizza Parlor,Restaurant/cafe,3097,35.09549878,-106.6710225,,,
Hot Yoga Downtown Albuquerque,Local business,3085,35.08265472,-106.6389158,,,
Little Anita's New Mexican Foods,Local business,3073,35.10890295,-106.6235037,,,
Albuquerque High School,School,3058,35.0966353,-106.6356437,,,
Starbucks,Local business,3049,35.10298247,-106.6710852,,,
Don Chalmers Ford,Automotive,3043,35.2158504,-106.6618545,,,
Retro's,Local business,3042,35.09562005,-106.5502259,,,
Manzano High School,School,3040,35.08555556,-106.5108333,,,
The Cube BBQ,Restaurant/cafe,3014,35.08159031,-106.6295631,,,
Sandiago's Mexican Grill at The Tram,Local business,3003,35.19100873,-106.4794815,,,
Genghis Grill,Restaurant/cafe,3002,35.144096,-106.593224,,,
UNM Hospital Emergency Department,Local business,2999,35.08809111,-106.6184073,,,
Rio Grande River,Local business,2992,35.10588729,-106.6846641,,,
Corrales Bistro Brewery,Local business,2984,35.22988876,-106.6126992,,,
St Jude Thaddeus Catholic Church,Local business,2980,35.19480441,-106.7071714,,,
Dion's,Local business,2979,35.14634565,-106.5524883,,,
Down N Dirty Seafood Boil,Restaurant/cafe,2973,35.14572272,-106.6396833,,,
The Garage,Automotive,2971,35.13507941,-106.7131581,,,
Tractor Brewing - Wells Park,Local business,2962,35.1022629,-106.6479224,,,
McAlister's Deli,Local business,2954,35.10248955,-106.5681051,,,
Scarpa's Brick Oven Pizza,Restaurant/cafe,2923,35.13029844,-106.5330417,,,
Planet Fitness - Albuquerque,Sports/recreation/activities,2911,35.05917399,-106.5821513,,,
Artichoke Cafe,Restaurant/cafe,2907,35.0832234,-106.6422826,,,
Weck's Breakfast Lunch Catering,Local business,2888,35.15400959,-106.5913033,,,
AMG Studios,Local business,2885,35.13756003,-106.6273635,,,
Albuquerque Indoor Karting,Attractions/things to do,2881,35.07939202,-106.5875907,,,
La Quinta Inn & Suites Albuquerque West,Local business,2860,35.103866,-106.708816,,,
Rio Grande Botanic Garden,Organization,2856,35.09327137,-106.6801157,,,
Holiday Inn Hotel & Suites Albuquerque-North I-25,Local business,2835,35.14149633,-106.5933682,,,
